S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
323,SIA/MH/MIN/565227/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272054/2026,"Transfer of EC of Wagholi Sand Ghat, Wardha river , Vill. Wagholi, Tq. Ashti Dist. Wardha, Nearest Gut No. 2,5, Area-1.06 Ha, Qty-1880 Brass in the name of M/s A. B. Carriers ,Prop. Mr. Abhishekh Bhasin",MAHARASHTRA,ABHISHEK BHASIN,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,EC Granted,"Transfer of EC of Wagholi Sand Ghat, Wardha river , Vill. Wagholi, Tq. Ashti Dist. Wardha, Nearest Gut No. 2,5, Area-1.06 Ha, Qty-1880 Brass in the name of M/s A. B. Carriers ,Prop. Mr. Abhishekh Bhasin"
324,SIA/MH/MIN/563839/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270856/2026,"Transfer of EC of Sand Ghat at Katyar ,River Purna , Vill Katyar Tq. Akola Dist. Akola Nearest Gut no 15 to 18, 20 to 31, Area-1.10 Ha, Qty-3887 Brass, in the name of Mr. Manish Giri",MAHARASHTRA,MANISH GANGAGIR GIRI,Category: B2 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,EC Granted,"Transfer of EC of Sand Ghat at Katyar ,River Purna , Vill Katyar Tq. Akola Dist. Akola Nearest Gut no 15 to 18, 20 to 31, Area-1.10 Ha, Qty-3887 Brass, in the name of Mr. Manish Giri"
325,SIA/MH/MIN/564598/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271537/2026,"Transfer of Environment Clearance for Pauni 1 Sand Ghat over an extent of 4.06 ha at Wainganga River Bed, Adjoining Gut No. 23, 15/3A, 15/3B, Village Pauni, Tehsil Pauni, District Bhandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd.",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,This is River Bed Sand mining project
326,SIA/MH/MIN/563985/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270988/2026","Devdi Hadgaon (Stone & Murrum) Quarry Project having Mine Lease Area: 2.00 Ha., located at Survey/Gut No.: 287 & 296 (Part), Village: Devdi Hadgaon, Tehsil: Ghansawangi, District: Jalna, Maharashtra by Shri. Yadav Shahajirao Deshmukh",MAHARASHTRA,YADAV SHAHAJIRAO DESHAMUKH,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,Pending at MS SEIAA,"It is a Devdi Hadgaon (Stone & Murrum) Quarry Project having Mine Lease Area: 2.00 Ha., located at Survey/Gut No.: 287 & 296 (Part), Village: Devdi Hadgaon, Tehsil: Ghansawangi, District: Jalna, Maharashtra. Minor mineral namely Stone (Basalt) & Murrum will be mined out from the site. Semi-mechanized opencast mining methodology using drilling and blasting with Excavator – Dumper combinations is proposed for this project. Proposed production of Stone & Murrum is 87164 TPA (Maximum Yearly Producti"
327,SIA/MH/MIN/567994/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/274554/2026,"Environmental Clearance for the Basalt Stone Quarry of Shri. Ganesh Bhausaheb Ukirde located at gut no. 106 part, Village Dhanora, Taluka Phulambri, District Chhatrapati Sambhaji Nagar",MAHARASHTRA,ukarde ganesh bhausaheb,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Verification,"Environmental Clearance for the Basalt Stone Quarry of Shri. Ganesh Bhausaheb Ukirde located at gut no. 106 part, Village Dhanora, Taluka Phulambri, District Chhatrapati Sambhaji Nagar"
328,SIA/MH/MIN/567639/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274215/2026,"Transfer of Environmental Clearance of Dhaulgaon Sand Ghat, Hingoli from District Mining Officer, Hingoli to Kapse Sonali Pramod",MAHARASHTRA,kapse sonali pramod,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Referred to SEIAA,"Application for Transfer of EC of Dhaulgaon Sand Ghat, Hingoli located at Gat No. 15, 14, 13, 9, 8, 4, 3, 2, 212, 211, 209, 207, 208 at Dhaulgaon, Tal. Basmath, Dist. Hingoli from the District Mining Officer, Hingoli, to Kapse Sonali Pramod"
329,SIA/MH/INFRA2/567356/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273901/2026","Proposed Dr. Babasaheb Ambedkar Super Specialty Hospital and Post Graduate Institute of Medical Sciences, on Kh. No. 101, 102 & 103 at Survey No. 533 Mouza-Indora, Kamptee Road, Nagpur- 440014, Maharashtra by Indira Gandhi Government Medical College Nagpur.",MAHARASHTRA,indira gandhi govt medical college nagpur,Category: B2 Sector: INFRA-2 Date of Submission: 30/01/2026,SEIAA,Under Verification,Super Specialty Hospital and Post Graduate Institute of Medical Science Nagpur
330,SIA/MH/MIN/566726/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273332/2026,Environmental clearance for proposed river bed sand mining having leases area 2.50 Ha. Shivni B.2 sand ghat on Wainganga river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 2.50 Ha. Shivni B.2 sand ghat on Wainganga river.
331,SIA/MH/MIN/566682/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273301/2026,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Rampur Chak sand ghat on Gadhvi river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Rampur Chak sand ghat on Gadhvi river.
332,SIA/MH/MIN/565713/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272442/2026,"Transfer of Environmental Clearance Chikhali 2 Sand Ghat over an extent of 1.20 ha. At Bawanthadi River Bed Adjoining Gut No. 489, Village Chikhali, Tehsil Tumsar, District Bhandara, Maharashtra, by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Chikhali 2 Sand Ghat over an extent of 1.20 ha. At Bawanthadi River Bed Adjoining Gut No. 489, Village Chikhali, Tehsil Tumsar, District Bhandara, Maharashtra, by M/s. Anoj kumar Agarwala"
333,IA/MH/IND3/565653/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272354/2026,Name Change of GLENMARK LIFE SCIENCES LIMITED,MAHARASHTRA,GLENMARK LIFE SCIENCES LIMITED,Category: A Sector: Industrial Projects - 3 Date of Submission: 28/01/2026,MOEFCC,Under Processing with Authority,Name Change from Glenmark Life Sciences Limited ( Old Name ) to Alivus Life sciences Limited ( New Name )
334,SIA/MH/INFRA2/565499/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272163/2026","Residential & Commercial project at village- Hadapsar, Taluka- Haveli, District- Pune by M/s Tupe Developer",MAHARASHTRA,TUPE DEVELOPERS,Category: B1 Sector: INFRA-2 Date of Submission: 19/01/2026,SEIAA,Standard ToR Granted,"Expansion In Residential and Commercial Project At- New S. No. 202/1/2/1, 202/1/2/2, 202/1/2/3, 202/1/2/4, 202/1/2/5 (old S. No. 202A, 202B/1/1 to 202B/1/7, 202/B/2, 202/B/3, 202/B/4) village- Hadapsar, Taluka- Haveli, District- Pune by M/s Tupe Developers. EC was received on 10.09.2024 for total BUA – 374143.93 sq.m. (FSI 245405.68sq.m.+ Non-FSI 128738.25 sq.m.)"
335,SIA/MH/MIN/563738/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270760/2025,"Expansion of Ravrajur Sand Ghat, Parbhani",MAHARASHTRA,District Mining Officer,Category: B2 Sector: Non-Coal Mining Date of Submission: 03/01/2026,SEIAA,EC Granted,"Application for Expansion in Environmental Clearance of Ravrajur Sand Ghat, located at gat no. 1, 9, 10, 11, 22, 23, 28, 29, 30, Village - Ravrajur Tal. Palam, Dist. Parbhani"
336,SIA/MH/MIN/564917/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271788/2026,"Transfer of EC of Bhagadi 1 Sand Ghat over an extent of 1.30 ha. at Chulbandhh River Bed Adjoining Gut No. 57, 62, Village Bhagadi, Tehsil Lakhandur, District Bhandara,,Qty-2297 Brass,in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Bhagadi 1 Sand Ghat over an extent of 1.30 ha. at Chulbandhh River Bed Adjoining Gut No. 57, 62, Village Bhagadi, Tehsil Lakhandur, District Bhandara,,Qty-2297 Brass,in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
337,SIA/MH/INFRA2/563804/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270822/2025","Environmental clearance for proposed residential cum commercial development on land bearing, plot No 1, Sector -3, Ulwe-Navi Mumbai-410206",MAHARASHTRA,FUTURE REALTY,Category: B2 Sector: INFRA-2 Date of Submission: 05/01/2026,SEIAA,Referred to SEAC,Residential cum Commercial development
338,SIA/MH/MIN/561742/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/268969/2025,"EC Transfer of Narayankhed & Nimgaonguru Sand Ghat, Area 2.30ha, Gut. no.Narayankhed 32, 36, 42,169 To 172, 184 To 188 Nimgaon Guru 39 to 45, 50 To 53 Village Narayankhed & Nimgaonguru, Tehsil DeolgaonRaja, District Buldhana Maharashtra by Shri. Bhagwat Bajirao Jadhao",MAHARASHTRA,bhagawat bajirao jadhao,Category: B2 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,EC Granted,"EC Transfer of Narayankhed & Nimgaonguru Sand Ghat, Area 2.30ha, Gut. no.Narayankhed 32, 36, 42,169 To 172, 184 To 188 Nimgaon Guru 39 to 45, 50 To 53 Village Narayankhed & Nimgaonguru, Tehsil DeolgaonRaja, District Buldhana Maharashtra by Shri. Bhagwat Bajirao Jadhao"
339,SIA/MH/INFRA2/563957/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270968/2026",M/s. Seasons Sai Lifespaces LLP,MAHARASHTRA,SEASONSSAI LIFESPACES LLP,Category: B2 Sector: INFRA-2 Date of Submission: 06/01/2026,SEIAA,Referred to SEIAA,"Proposed Residential Project with Shopline at CTS No. 3555/1 and CTS No.3553/2, Opp. Sai Nandan Banquet, Govind wadi Bypass Road, village & Taluka Kalyan West -421301 by M/s. Seasons Sai Lifespaces LLP"
340,SIA/MH/MIN/568284/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274795/2026,"Transfer of Environmental Clearance of Sodegaon Sandghat, Gut No. 352, 391, 384, 383, 378, 377, 373, 372, 371, Village – Sodegaon, Tal.- Kalamnuri, Dist. Hingoli from DMO, Hingoli to M/s Siddhant Building Material (PP - Shri. Sunil Arun Narvade)",MAHARASHTRA,SUNIL ARUN NARWADE,Category: B2 Sector: Non-Coal Mining Date of Submission: 06/02/2026,SEIAA,Under Verification,"Application for Transfer of Environmental Clearance of Sodegaon Sandghat, Gut No. 352, 391, 384, 383, 378, 377, 373, 372, 371, Village – Sodegaon, Tal.- Kalamnuri, Dist. Hingoli from DMO, Hingoli to M/s Siddhant Building Material (PP - Shri. Sunil Arun Narvade)"
341,SIA/MH/MIN/566798/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273398/2026,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Illur sand ghat on Wainganga river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Illur sand ghat on Wainganga river.
342,SIA/MH/MIN/566767/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273378/2026,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Chop sand ghat on Gadhvi river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Chop sand ghat on Gadhvi river.
343,SIA/MH/MIN/564133/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271130/2026,"Sand Ghat Proposal of Sasade Sand Ghat Tq. Shahada Dist. Nandurbar, Nearest Gut no 565,569/1,56/2 , Area-1.296 Ha Qty-9159 Brass, Tapi River",MAHARASHTRA,DMONANDURBAR,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/01/2026,SEIAA,EC Granted,"Sand Ghat Proposal of Sasade Sand Ghat Tq. Shahada Dist. Nandurbar, Nearest Gut no 565,569/1,56/2 , Area-1.296 Ha Qty-9159 Brass, Tapi River"
344,SIA/MH/INFRA2/567531/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273940/2026","Environment clearance for Proposed Residential and Commercial Construction Project at S.No. 4/2/4, 4/3/1, 4/4(P), 4/9+10+11, 4/3/2, Plot No. B1at -Ambegaon (Bk), Tal- Haveli, Dist- Pune. By M/s. Dynamic Landmarks LLP.",MAHARASHTRA,DYNAMIC LANDMARKS LLP,Category: B2 Sector: INFRA-2 Date of Submission: 31/01/2026,SEIAA,Under Verification,"At S.No. 4/2/4, 4/3/1, 4/4(P), 4/9+10+11, 4/3/2, Plot No. B1at Ambegaon (Bk), Tal- Haveli, Dist- Pune."
345,SIA/MH/MIN/565856/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272572/2026,"Transfer of Environmental Clearance Koshti Sand Ghat over an extent of 3.0 ha. at Wainganga River Bed Adjoining Gut No. 291, 294, 295, 330, Village Koshti, Tehsil Tumsar, District Bhandara, Maharashtra by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 17/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Koshti Sand Ghat over an extent of 3.0 ha. at Wainganga River Bed Adjoining Gut No. 291, 294, 295, 330, Village Koshti, Tehsil Tumsar, District Bhandara, Maharashtra by M/s. Anoj kumar Agarwala"
346,SIA/MH/INFRA2/564553/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270320/2025,"Application for transfer of Environmental Clearance of Proposed Residential and commercial development on plot bearing CTS no. 195A/3A, 195A/3B, village Parsik, Kalwa, District Thane by Mr. Roshan Patil & 5 others from Mr. Roshan Patil & 5 others (Transferor) to M/s. Sunita Enterprises (Transferee).",MAHARASHTRA,M/S SUNITA ENTERPRISES,Category: B2 Sector: INFRA-2 Date of Submission: 07/01/2026,SEIAA,Referred to SEAC,"Residential and commercial development on plot bearing CTS no. 195A/3A, 195A/3B, village Parsik, Kalwa, District Thane by Mr. Roshan Patil & 5 others. the project had received EC dated 06/12/2022. Currently, transfer of EC is to be done in favour of M/s. Sunita Enterprises."
347,SIA/MH/MIN/566937/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273537/2026,"Application of Transfer of Environmental Clearance Hiwra Purna- Yelki Purna Sand Ghat Proposal of Hiwra Purna-Yelki Purna Sand Ghat Tq. Achalpur Dist. Amravati, Nearest Gut no Hiwra Purna-17,18,20,28,29,48, Yelaki Purna - 264 to 270, 273,280,281, 284 to 286, Area- 1.03 Ha from District Mining Officer, Amaravati to Mr. Shubham Sharadrao Bhuyar",MAHARASHTRA,Shubham sharadrao Bhuyar,Category: B2 Sector: Non-Coal Mining Date of Submission: 27/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Hiwra Purna- Yelki Purna Sand Ghat
348,SIA/MH/MIN/565838/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272555/2026,"Transfer of Environmental Clearance Sondya 1 Sand Ghat over an extent of 4.0 ha. At Bawanthadi River Bed Adjoining Gut No. 235, Village Sondya, Tehsil Tumsar, District Bhandara, Maharashtra. by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Sondya 1 Sand Ghat over an extent of 4.0 ha. At Bawanthadi River Bed Adjoining Gut No. 235, Village Sondya, Tehsil Tumsar, District Bhandara, Maharashtra. by M/s. Anoj kumar Agarwala"
349,IA/MH/IND3/567473/2026,Clearance Type: Application for No Increase in Pollution Load - Form-10 S/W No.: SW/274008/2026,"CIPM at M/s. Galaxy Laboratories Pvt. Ltd.,",MAHARASHTRA,GALAXY LABORATORIES PRIVATE LIMITED,Category: B1 Sector: Date of Submission: 31/01/2026,MOEFCC,INTIMATED,"Manufacturing of Synthetic Organic Chemicals at Plot no. B-9 & B-10, MIDC, Aurangabad Industrial Area, Beed, Bypass Road - 431005"
350,SIA/MH/MIN/565524/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272283/2026,"Application of Transfer of Environmental Clearance Isapur Sand Ghat Proposal of Isapur Sand Ghat Tq. Tiosa Dist. Amravati, Nearest Gut no 1 and Gaonthan, Area-1.68 Ha from District Mining Officer, Amaravati to M/s- Sarvadnya Engineering & Contractors tarfe Mr. Tejendra Gopalrao Manjalwar",MAHARASHTRA,Tejendra Manjalwar,Category: B2 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Isapur Sand Ghat
351,SIA/MH/MIN/564078/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271072/2026,"Environmental Clearance for the Ghodeshwar Tamdardi Sand Spot 3 over Bhima river located at Gut no. Gut No. 98,97,96 & 94 Part of Ghodeshwar Village Taluka- Mohol & Gut No. 46 to 51 Part of Tamdardi Village Taluka-Mangalwedha, District: Solapur,",MAHARASHTRA,neelima yashwant jadhav,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,EC Granted,"Environmental Clearance for the Ghodeshwar Tamdardi Sand Spot 3 over Bhima river located at Gut no. Gut No. 98,97,96 & 94 Part of Ghodeshwar Village Taluka- Mohol & Gut No. 46 to 51 Part of Tamdardi Village Taluka-Mangalwedha, District: Solapur,"
352,SIA/MH/MIN/564530/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271473/2026,"Transfer of Environment Clearance for Gudegaon Sand Ghat over an extent of 4.9 ha. at Wainganga River Bed Adjoining Gut No. 150, 176, 177, 178, 179, 180, 189, 190, Village Gudegaon, Tehsil Pauni, District Bhandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,This is a river bed mining project
353,IA/MH/IND3/563866/2026,Clearance Type: Application for No Increase in Pollution Load - Form-10 S/W No.: SW/270876/2026,Zydus Takeda Healthcare Pvt. Ltd.,MAHARASHTRA,M/S ZYDUS TAKEDA HEALTHCARE PVT. LTD.,Category: B1 Sector: Date of Submission: 03/01/2026,MOEFCC,INTIMATED,"Application for Renewal in Consent to Operate with change in product mix with increase in production capacity in existing project as per EIA Notification 23rd November 2016, 16th January 2020 and 2nd March 2021"
354,SIA/MH/INFRA2/564386/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/269823/2025","Residential & Commercial Development on Plot No. 17, 18 & 19 of Sector No. 5A, Kharghar, Taluka Panvel, District Raigad, State: Maharashtra, India by M/s. Godrej Properties Limited",MAHARASHTRA,GODREJ PROPERTIES LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 12/01/2026,SEIAA,Under Verification,Residential and Commercial Development
